nome,kcal,proteina,carbo,gordura
"Carne, boi, filé mignon, s/ gordura, grelhada, c/ manteiga, s/ sal",267,"29,6","0,04","16,6"
"Carne, boi, filé mignon, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal",207,"27,3","3,32","9,4"
"Carne, boi, filé mignon, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal",207,"26,5","2,11","10,4"
"Carne, boi, filé mignon, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal",208,"26,5","2,16","10,4"
"Carne, boi, filé mignon, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",184,"26,6","1,35","8,09"
"Carne, boi, filé mignon, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal",212,"31,3","0,52","9,44"
"Carne, boi, filé mignon, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal",213,"31,3","0,57","9,55"
"Carne, boi, filé mignon, s/ gordura, grelhada, s/ óleo, c/ molho branco, c/ sal, Brasil",199,"27,2","2,13","9,08"
"Carne, boi, filé mignon, s/ gordura, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",184,"26,6","1,34","8,12"
"Carne, boi, filé mignon, s/ gordura, grelhada/assada, s/ óleo, c/ sal",210,"32,7",0,"8,79"
"Carne, boi, flanco, s/ gordura, cozida,  c/ batata e cenoura, c/ óleo, cebola e alho, c/ sal",145,"19,5","3,18","6,19"
"Carne, boi, flanco, s/ gordura, cozida,  c/ batata e cenoura, c/ óleo, cebola e alho, s/ sal",146,"19,5","3,24","6,3"
"Carne, boi, flanco, s/ gordura, cozida,  c/ batata e vegetais - cenoura, chuchu, vagem, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",114,"14,8","3,6","4,8"
"Carne, boi, flanco, s/ gordura, cozida,  c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal",128,"16,7","3,54","5,42"
"Carne, boi, flanco, s/ gordura, cozida,  c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal",129,"16,7","3,6","5,53"
"Carne, boi, flanco, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",165,"23,8","1,32","7,25"
"Carne, boi, flanco, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal",191,28,"0,69","8,48"
"Carne, boi, flanco, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal",192,"28,1","0,76","8,59"
"Carne, boi, flanco, s/ gordura, cozida, s/ sal, Brasil",187,"29,4","0,01","7,77"
"Carne, boi, flanco, s/ gordura, cru, Brasil",139,"20,7",0,"6,22"
"Carne, boi, fraldinha, c/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, c/ sal",237,16,"3,19",18
"Carne, boi, fraldinha, c/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, s/ sal",239,"16,1","3,26","18,1"
"Carne, boi, fraldinha, c/ gordura, cozida, c/ óleo, cebola e alho, c/ sal",326,23,"0,72","25,7"
"Carne, boi, fraldinha, c/ gordura, cozida, c/ óleo, cebola e alho, s/ sal",327,23,"0,78","25,8"
"Carne, boi, fraldinha, c/ gordura, cozida, s/ óleo, c/ sal",330,"24,1",0,"25,9"
"Carne, boi, fraldinha, c/ gordura, cozida, s/ sal, brasil",329,24,0,"25,9"
"Carne, boi, fraldinha, c/ gordura, crua, Brasil",216,"17,6",0,"16,1"
"Carne, boi, fraldinha, c/ gordura, frita (c/ óleo de soja), c/ sal",290,"19,9",0,"23,4"
"Carne, boi, fraldinha, c/ gordura, frita (c/ óleo de soja), s/ sal, Brasil",292,20,0,"23,5"
"Carne, boi, lagarto, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",138,"17,6","4,83","5,67"
"Carne, boi, lagarto, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",138,"17,6","4,86","5,69"
"Carne, boi, lagarto, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",185,"26,5","1,33","8,3"
"Carne, boi, lagarto, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",186,"26,6","1,34","8,34"
"Carne, boi, lagarto, cozida, c/ óleo, cebola e alho, c/ sal",215,"31,2","0,68","9,75"
"Carne, boi, lagarto, cozida, c/ óleo, cebola e alho, s/ sal",216,"31,2","0,75","9,86"
"Carne, boi, lagarto, cozida, s/ óleo, c/ sal",212,"32,7",0,"9,07"
"Carne, boi, lagarto, cozida, s/ óleo, s/ sal, Brasil",212,"32,6",0,"9,11"
"Carne, boi, lagarto, crua (média diferentes amostras frescas, resfriadas, congeladas), Brasil",128,"21,3",0,"4,72"
"Carne, boi, lagarto, frita (c/ óleo de soja), c/ sal",267,"30,1",0,"16,3"
"Carne, boi, lagarto, frita (c/ óleo de soja), s/ sal, Brasil",268,"30,2",0,"16,4"
"Carne, boi, lagarto, refogada (c/ óleo, cebola e alho), c/ sal",177,"27,6","0,74","7,13"
"Carne, boi, lagarto, refogada (c/ óleo, cebola e alho), s/ sal",178,"27,8","0,75","7,17"
"Carne, boi, língua, cozida, ao molho vermelho (tomate, c/ óleo, cebola e alho), c/ sal",261,"17,4","1,33","20,8"
"Carne, boi, lingua, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",185,"11,9","4,83","13,5"
"Carne, boi, lingua, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",138,"17,6","4,86","5,69"
"Carne, boi, língua, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",262,"17,4","1,34","20,9"
"Carne, boi, lingua, cozida, recheada, c/ cenoura, pimentão vermelho, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",192,"12,5","2,57","14,9"
"Carne, boi, lingua, cozida, recheada, c/ linguiça calabresa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",256,"17,1","1,41","20,4"
"Carne, boi, língua, cozida, s/ óleo, c/ sal",307,"21,3",0,"24,7"
"Carne, boi, lingua, cozida, s/ sal, Brasil",308,"21,3",0,"24,8"
"Carne, boi, língua, refogada, c/ óleo, cebola e alho, c/ sal",306,"20,4","0,74","24,7"
"Carne, boi, maminha, crua, Brasil",142,"21,1",0,"6,37"
"Carne, boi, maminha, frita (c/ óleo de soja), c/ sal",204,"28,1",0,"10,2"
"Carne, boi, maminha, frita (c/ óleo de soja), s/ sal, Brasil",205,"28,3",0,"10,2"
"Carne, boi, maminha, grelhada, c/ manteiga, c/ sal",284,"27,7",0,"18,9"
"Carne, boi, maminha, grelhada, c/ manteiga, s/ sal",287,"27,7","0,16","19,3"
"Carne, boi, maminha, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal",224,"25,7","3,35","11,8"
"Carne, boi, maminha, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal",225,"25,7","3,43","11,8"
"Carne, boi, maminha, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal",225,"24,9","2,21","12,8"
"Carne, boi, maminha, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal",156,"24,9","2,26","5,31"
"Carne, boi, maminha, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",201,"24,9","1,45","10,5"
"Carne, boi, maminha, grelhada, c/ óleo, cebola e alho, c/ sal",233,"29,3","0,64","12,3"
"Carne, boi, maminha, grelhada, c/ óleo, cebola e alho, s/ sal",234,"29,3","0,69","12,4"
"Carne, boi, maminha, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",131,"24,9","1,34","2,99"
"Carne, boi, maminha, grelhada/assada, s/ óleo, c/ sal",144,"30,6",0,"2,41"
"Carne, boi, maminha, s/ gordura, assada, recheado - cebola, pimentão, tomate, linguiça calabresa, c/ pimenta-do-reino, c/ sal",140,"26,1","1,25","3,44"
"Carne, boi, maminha, s/ gordura, assada, recheado - cebola, pimentão, tomate, linguiça calabresa, c/ pimenta-do-reino, s/ sal",140,"26,2","1,29","3,47"
"Carne, boi, maminha, s/ gordura, grelhada, s/ óleo, s/ sal, Brasil",141,"30,7",0,"2,04"
"Carne, boi, miolo de alcatra (baby beef), grelhada/assada, s/ óleo, c/ molho roti (caldo de carne, água, vinho tinto, farinha de trigo, manteiga, tomilho, c/ pimenta-do-reino), c/ sal",219,"25,8","1,72","11,8"
"Carne, boi, miolo de alcatra (baby beef), grelhada/assada, s/ óleo, c/ molho roti (caldo de carne, água, vinho tinto, farinha de trigo, manteiga, tomilho, c/ pimenta-do-reino), s/ sal",220,"25,9","1,76","11,9"
"Carne, boi, miolo de alcatra, grelhada/assada, s/ óleo, c/ sal",231,"31,8",0,"11,6"
"Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ manteiga, c/ sal",293,"28,8","2,5","18,7"
"Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ manteiga, s/ sal",297,"28,8","2,5","19,1"
"Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal",233,"26,6","5,44","11,6"
"Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal",233,"26,6","5,51","11,7"
"Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal",234,"25,8","4,3","12,6"
"Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal",235,"25,8","4,35","12,7"
"Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",210,"25,9","3,53","10,3"
"Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal",243,"30,4","3,12","12,1"
"Carne, boi, miolo de alcatra, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal",244,"30,4","3,17","12,2"
"Carne, boi, miolo de alcatra, s/ gordura, grelhada, s/ óleo, s/ sal, Brasil",236,"32,6",0,"11,7"
"Carne, boi, miolo, cozida, s/ óleo, c/sal",186,"31,8",0,"6,55"
"Carne, boi, miolo, cozida, s/óleo, s/ sal",147,"11,7","1,48","10,5"
"Carne, boi, moída, s/ gordura, crua, Brasil",145,"19,3",0,"7,56"
"Carne, boi, músculo, s/ gordura, cozida, c/ batata doce e cenoura, c/ óleo, cebola e alho, c/ sal",243,16,"4,81",18
"Carne, boi, músculo, s/ gordura, cozida, c/ batata doce e cenoura, c/ óleo, cebola e alho, s/ sal",245,16,"4,88","18,1"
"Carne, boi, músculo, s/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, c/ sal",237,16,"3,19",18
"Carne, boi, músculo, s/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, s/ sal",239,"16,1","3,26","18,1"
"Carne, boi, músculo, s/ gordura, cozida, c/ brócolis e cenoura, c/ óleo, cebola e alho, c/ sal",234,"16,3","2,02",18
"Carne, boi, músculo, s/ gordura, cozida, c/ brócolis e cenoura, c/ óleo, cebola e alho, s/ sal",235,"16,3","2,09","18,2"
"Carne, boi, músculo, s/ gordura, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",138,"17,6","4,83","5,67"
"Carne, boi, músculo, s/ gordura, cozida, c/ cenoura e ervilha, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",138,"17,6","4,86","5,69"
"Carne, boi, músculo, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",163,"25,2","1,33","6,38"
"Carne, boi, músculo, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",163,"25,3","1,34","6,41"
"Carne, boi, músculo, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal",186,"29,4","0,7","7,37"
"Carne, boi, músculo, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal",216,"31,2","0,71","9,86"
"Carne, boi, músculo, s/ gordura, cozida, s/ óleo, c/ sal",184,"31,1",0,"6,67"
"Carne, boi, músculo, s/ gordura, cozida, s/ óleo, s/ sal, Brasil",183,"30,8",0,"6,6"
"Carne, boi, músculo, s/ gordura, cru, Brasil",137,"20,7",0,"6,06"
"Carne, boi, paleta, c/ gordura, crua, Brasil",152,"21,3",0,"7,46"
"Carne, boi, paleta, s/ gordura, cozida, c/ batata doce e cenoura, c/ óleo, cebola e alho, c/ sal",149,"19,5","4,79","5,9"
"Carne, boi, paleta, s/ gordura, cozida, c/ batata doce e cenoura, c/ óleo, cebola e alho, s/ sal",150,"19,5","4,86","6,01"
"Carne, boi, paleta, s/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, c/ sal",143,"19,6","3,17","5,88"
"Carne, boi, paleta, s/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, s/ sal",144,"19,6","3,24","5,99"
"Carne, boi, paleta, s/ gordura, cozida, c/ brócolis e cenoura, c/ óleo, cebola e alho, c/ sal",139,"19,8","1,99","5,96"
"Carne, boi, paleta, s/ gordura, cozida, c/ brócolis e cenoura, c/ óleo, cebola e alho, s/ sal",140,"19,8","2,06","6,06"
"Carne, boi, paleta, s/ gordura, cozida, c/ ervilha e cenoura, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",123,16,"4,83","4,77"
"Carne, boi, paleta, s/ gordura, cozida, c/ ervilha e cenoura, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",123,16,"4,86","4,79"
"Carne, boi, paleta, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",163,24,"1,33","6,94"
"Carne, boi, paleta, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",164,"24,1","1,34","6,97"
"Carne, boi, paleta, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal",189,"28,2","0,75","8,14"
"Carne, boi, paleta, s/ gordura, cozida, refogada (c/ óleo, cebola e alho), c/ sal",187,"28,2","0,68","8,04"
"Carne, boi, paleta, s/ gordura, cozida, s/ óleo, c/ sal",185,"29,6",0,"7,37"
"Carne, boi, paleta, s/ gordura, cozida, s/ óleo, s/ sal, Brasil",184,"29,5",0,"7,3"
"Carne, boi, paleta, s/ gordura, crua, Brasil",135,"21,1",0,"5,67"
"Carne, boi, paleta, s/ gordura, frita (c/ óleo de soja), c/ sal",242,"27,2",0,"14,7"
"Carne, boi, paleta, s/ gordura, frita (c/ óleo de soja), s/ sal, Brasil",243,"27,3",0,"14,8"
"Carne, boi, paleta, s/ gordura, refogada (c/ óleo, cebola e alho), c/ sal",190,"28,3","0,75","8,21"
"Carne, boi, patinho, crua (média de várias amostras), Brasil",114,"21,1",0,"3,33"
"Carne, boi, patinho, s/ gordura, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), c/ sal",249,"25,6","7,94","12,9"
"Carne, boi, patinho, s/ gordura, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), s/ sal",250,"25,7","7,98","12,9"
"Carne, boi, patinho, s/ gordura, frita (c/ óleo de soja), c/ sal",263,"32,9",0,"14,7"
"Carne, boi, patinho, s/ gordura, frita (c/ óleo de soja), s/ sal, Brasil",265,33,0,"14,7"
"Carne, boi, patinho, s/ gordura, grelhada, c/ manteiga, c/ sal",264,"32,3",0,"14,8"
"Carne, boi, patinho, s/ gordura, grelhada, c/ manteiga, s/ sal",267,"32,4","0,3","15,2"
"Carne, boi, patinho, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal",206,"29,8","3,48","8,14"
"Carne, boi, patinho, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal",207,"29,8","3,55","8,19"
"Carne, boi, patinho, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal",207,29,"2,34","9,14"
"Carne, boi, patinho, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal",208,29,"2,39","9,22"
"Carne, boi, patinho, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",183,"29,1","1,58","6,88"
"Carne, boi, patinho, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal",212,"34,2","0,79",8
"Carne, boi, patinho, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal",213,"34,2","0,84","8,11"
"Carne, boi, patinho, s/ gordura, grelhada, s/ óleo, s/ sal, Brasil",211,36,0,"7,5"
"Carne, boi, patinho, s/ gordura, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",182,"28,9","1,33","6,87"
"Carne, boi, patinho, s/ gordura, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",183,"29,1","1,34","6,9"
"Carne, boi, patinho, s/ gordura, grelhada/assada, s/ óleo, c/ sal",208,"35,7",0,"7,28"
"Carne, boi, peito, s/ gordura, cozida, s/ óleo, c/ sal",330,"22,1",0,"26,9"
"Carne, boi, peito, s/ gordura, crua, Brasil",254,"17,6",0,"20,4"
"Carne, boi, peito, s/ gordura, frita (c/ óleo de soja), c/ sal",376,"20,4",0,"32,7"
"Carne, boi, peito, s/ gordura, frita (c/ óleo de soja), s/ sal, Brasil",377,"20,5",0,"32,8"
"Carne, boi, peito, s/ gordura, grelhada, c/ manteiga, c/ sal",369,"19,8",0,"32,2"
"Carne, boi, peito, s/ gordura, grelhada, c/ manteiga, s/ sal",372,"19,8",0,"32,6"
"Carne, boi, peito, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal",300,"18,7","3,21","23,6"
"Carne, boi, peito, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal",300,"18,7","3,29","23,6"
"Carne, boi, peito, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal",301,"17,9","2,07","24,6"
"Carne, boi, peito, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal",302,"17,9","2,12","24,7"
"Carne, boi, peito, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",277,"17,9","1,31","22,3"
"Carne, boi, peito, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal",323,21,"0,48","26,4"
"Carne, boi, peito, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal",324,21,"0,53","26,5"
"Carne, boi, peito, s/ gordura, grelhada, s/ sal, Brasil",328,22,0,"26,6"
"Carne, boi, picanha, c/ gordura, grelhada, c/ manteiga, c/ sal",327,"23,7",0,"25,8"
"Carne, boi, picanha, c/ gordura, grelhada, c/ manteiga, s/ sal",330,"23,7","0,01","26,2"
"Carne, boi, picanha, c/ gordura, grelhada, c/ óleo, c/ sal",308,25,"0,01","23,1"
"Carne, boi, picanha, c/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal",278,"25,1","0,48","19,6"
"Carne, boi, picanha, c/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal",279,"25,1","0,53","19,7"
"Carne, boi, picanha, c/ gordura, grelhada, s/ sal, Brasil",281,"26,3",0,"19,5"
"Carne, boi, picanha, crua (média de várias amostras), Brasil",160,"20,4",0,"8,68"
"Carne, boi, picanha, grelhada/assada, s/ óleo, c/ sal (média de amostras c/ e s/ gordura)",254,29,0,"15,4"
"Carne, boi, picanha, grelhada/assada, s/ óleo, s/ sal (média de amostras c/ e s/ gordura), Brasil",255,"29,2",0,"15,4"
"Carne, boi, picanha, s/ gordura, grelhada, c/ manteiga, c/ sal",284,"28,8",0,"18,4"
"Carne, boi, picanha, s/ gordura, grelhada, c/ manteiga, s/ sal",287,"28,8","0,81","18,8"
"Carne, boi, picanha, s/ gordura, grelhada, c/ óleo, c/ sal",263,"30,3","0,85","15,3"
"Carne, boi, picanha, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal",233,"30,4","1,33","11,8"
"Carne, boi, picanha, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal",234,"30,4","1,38","11,9"
"Carne, boi, picanha, s/ gordura, grelhada, s/ sal, Brasil",233,32,0,"11,7"
"Carne, boi, ponta de agulha, crua, brasil",169,"19,7",0,10
"Carne, boi, pulmão, cozido, s/ óleo, c/ sal",114,"20,3",0,"3,68"
"Carne, boi, pulmão, cozido, s/ óleo, s/ sal",115,"20,4",0,"3,7"
"Carne, boi, quarto dianteiro, crua (média de diferentes cortes), Brasil",149,"19,7",0,"7,79"
"Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",117,"13,9","4,02","5,32"
"Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal",142,"17,2","3,67","6,62"
"Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal",143,"17,2","3,74","6,73"
"Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",166,"21,6","2,21","7,99"
"Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal",192,"25,3","1,75","9,37"
"Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal",194,"25,4","1,81","9,48"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ manteiga, c/ sal",334,"25,8",0,"25,7"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ manteiga, s/ sal",337,"25,8",0,26
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal",269,24,"3,21","17,8"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal",269,24,"3,29","17,8"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda) , c/ sal",270,"23,2","2,07","18,8"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal",271,"23,2","2,12","18,9"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",246,"23,2","1,31","16,5"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",194,"11,6","11,3","11,6"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo e cebola, c/ sal",286,"27,3","0,48","19,5"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo e cebola, s/ sal",287,"27,3","0,53","19,6"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo, c/ sal",315,"27,2",0,23
"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo, s/ sal",319,"27,2",0,"23,4"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, s/ óleo, c/ sal",287,"28,5",0,"19,3"
"Carne, boi, quarto traseiro, c/ gordura, grelhada, s/ óleo, s/ sal, Brasil",289,"28,6",0,"19,4"
"Carne, boi, quarto traseiro, crua (média de diferentes cortes), Brasil",154,"20,9",0,"7,82"
"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",124,"15,7","3,46","5,47"
"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal",149,"19,4","2,96","6,82"
"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal",151,"19,4","3,03","6,93"
"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",176,"24,4","1,31","8,25"
"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal",204,"28,7","0,68","9,67"
"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal",206,"28,7","0,75","9,78"
"Carne, boi, quarto traseiro, s/ gordura, cozida, s/ óleo, s/ sal, Brasil",201,"30,1",0,"9,02"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ manteiga, c/ sal",275,"28,9",0,"17,6"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ manteiga, s/ sal",279,"28,9","0,44","17,9"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal",216,"26,7","3,6","10,6"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal",217,"26,7","3,68","10,6"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal",218,"25,9","2,47","11,6"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal",218,"25,9","2,51","11,7"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",194,26,"1,7","9,33"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo e cebola, c/ sal",224,"30,5","0,94","10,9"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo e cebola, s/ sal",225,"30,6","0,99",11
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo, c/ sal",253,"30,5",0,"14,4"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo, s/ sal",257,"30,5","0,47","14,9"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, s/ óleo, c/ sal",223,"31,9","0,49","10,3"
"Carne, boi, quarto traseiro, s/ gordura, grelhada, s/ óleo, s/ sal, Brasil",222,"32,1",0,"10,4"
"Carne, boi, rabo, cozido, s/ óleo, c/ sal",349,"21,6",0,"29,2"
"Carne, boi, rabo, cozido, s/ óleo, s/ sal",351,"21,7",0,"29,3"
"Carne, boi, salgada, crua (média várias amostras: charque, seca, jerked beef), Brasil",273,"22,3",0,"20,4"
"Carne, boi, salgada, dessalgada,  s/ gordura externa, crua, Brasil",125,21,0,"4,53"
"Carne, boi, salgada, dessalgada, cozida, s/ óleo (média várias amostras: charque, seca, jerked beef), Brasil",270,"31,6","0,05","15,9"
"Carne, boi, seca, cozida, s/ óleo, Brasil",302,"26,7",0,"21,7"
"Carne, boi, seca, dessalgada, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",259,"21,9","1,34","18,6"
"Carne, boi, seca, dessalgada, frita (c/ óleo de soja), s/ sal, Brasil",353,"24,8",0,"28,2"
"Carne, boi, seca, dessalgada, refogada (c/ óleo, cebola e alho), s/ sal",304,"25,7","0,75",22
"Carne, bovina, acém, s/ gordura, cozida, c/ batata, s/ sal",166,"18,3","4,84","8,3"
"Carne, bovina, alcatra, acebolada, c/ óleo de soja, pimenta do reino, c/ sal",147,20,4,"5,93"
