nome,kcal,proteina,carbo,gordura
"Achocolatado, em pó, c/ flocos, tipo Ovomaltine (dado importado)",373,0,"93,3",0
"Achocolatado, em pó, sem adição de açúcar",362,"15,5","71,9",3
"Açúcar, Brasil (média de diferentes tipos)",395,"0,35","98,3","0,02"
"Açúcar, cristal, Brasil",400,"0,32","99,6",tr
"Açúcar, light (20% sacarose + edulcorante), Brasil",80,"0,03","19,9",tr
"Açúcar, light (50% sacarose ou maltodextrina + edulcorante), Brasil",198,"0,08","49,4",tr
"Açúcar, mascavo, Brasil",382,"0,76","94,5","0,09"
"Açúcar, refinado, Brasil (média de diferentes amostras)",397,"0,16",99,tr
"Adoçante, aspartame, em pó (dado importado)",368,92,0,0
"Adoçante, sacarina, em pó (dado importado)",0,0,0,0
"Adoçante, sucralose, em pó (dado importado)",365,0,"91,2",0
"Agrião, cozido, drenado, c/ óleo de soja, c/ sal",47,"3,54","2,88","2,89"
"Agrião, cozido, drenado, c/ óleo de soja, s/ sal",47,"3,55","2,89","2,89"
"Agrião, cozido, drenado, s/ óleo, c/ sal",26,"3,63","2,95","0,52"
"Agrião, cozido, drenado, s/ óleo, s/ sal, Brasil",27,"3,65","2,97","0,52"
"Agrião, cru, Brasil",23,"3,17","2,58","0,45"
"Água, mineral (dado importado)",0,0,0,0
"Aipo (salsão), cozido, drenado, s/ óleo, c/ sal",19,"0,83","4,38","0,08"
"Aipo (salsão), cozido, drenado, s/ óleo, s/ sal, Brasil",21,"0,84","4,7","0,08"
"Aipo (salsão), cru, Brasil",19,"0,76","4,27","0,07"
"Aipo (salsão), refogado (c/ óleo, cebola e alho), c/ sal",42,"1,33","7,05","1,32"
"Aipo (salsão), refogado (c/ óleo, cebola e alho), s/ sal",43,"1,33","7,37","1,32"
"Alcachofra, assada, c/ azeite de oliva, pimenta do reino, c/ sal",80,"3,47","11,3","3,65"
"Alcachofra, assada, s/ óleo, c/ sal",50,"3,59","11,6","0,16"
"Alcachofra, cozida, drenada, s/ óleo, c/ sal",51,"2,88","11,9","0,34"
"Alcachofra, cozida, drenada, s/ óleo, s/ sal (dado importado)",51,"2,89",12,"0,34"
"Alcachofra, crua (dado importado)",46,"3,27","10,6","0,15"
"Alcaparra, conserva, drenada (dado importado)",37,"2,36","4,89","0,86"
"Alecrim, seco (dado importado)",328,"4,88","64,1","15,2"
"Aletria doce (macarrão, leite, manteiga, gema de ovo, extrato de baunilha, casca de limão, canela, c/ açúcar)",153,"3,42","20,9","5,94"
"Alface, americana, crua, Brasil",6,"0,41","1,5","0,11"
"Alface, crespa, crua, brasil",10,"1,35","1,7","0,16"
"Alface, crua, Brasil",9,"1,08","1,79","0,12"
"Alface, lisa, crua, Brasil",13,"1,7","2,43","0,12"
"Alface, roxa, crua, Brasil",11,"0,91","2,49","0,19"
"Alfavaca (manjericão-doce), crua, Brasil",28,"2,66","5,24","0,48"
"Alga, ágar ágar, em pó (dado importado)",336,"6,21","80,9","0,3"
"Algodão, doce (dado importado)",402,0,"99,7","0,32"
"Alho, cozido, drenado, s/ óleo, s/ sal, Brasil",144,"6,78","30,7","0,24"
"Alho, cru, Brasil",121,"5,7","25,8","0,2"
"Alho, em pó (dado importado)",346,"16,6","72,7","0,73"
"Alho, refogado (c/ óleo de soja), s/ sal, Brasil",433,"8,09","36,6","29,3"
"Alho-poró, cozido, drenado, s/ óleo, s/ sal (dado importado)",34,"0,81","7,62","0,2"
"Alho-poró, cru, Brasil",29,"1,41","6,88","0,14"
"Alichela, caseira (peixe, água salgada, nchova (aliche), salsinha, alho, pimenta do reino, c/ azeite de oliva, s/ sal)",318,"18,9","1,85","26,2"
"Almeirão (chicória amarga), cru, Brasil",20,"1,78","4,12","0,29"
"Almeirão (chicória amarga), refogado (c/ óleo, cebola e alho), s/ sal",86,"1,68","6,15","7,2"
"Almeirão (chicoria, radiche), refogado (c/ óleo, cebola e alho), c/ sal, Brasil",86,"1,68","6,15","7,2"
"Almeirão, cozido, drenado, s/ óleo, c/ sal",19,"1,84","3,92","0,3"
"Almeirão, cozido, drenado, s/ óleo, s/ sal, Brasil",21,"1,84","4,24","0,3"
"Almôndega de soja, assada, c/ molho de tomate, c/ sal (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, salsinha e cebolinha, pimenta-do-reino, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal)",155,"16,5","19,5","2,11"
"Almôndega de soja, assada, c/ sal (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, cheiro verde, cebola e alho, pimenta-do-reino, c/ sal)",189,"22,8",25,"0,77"
"Almôndega de soja, assada, s/ sal (proteína texturarizada de soja (hidratada com caldo de legumes), farinha de rosca, farinha de trigo, ovo, cheiro verde, cebola e alho, pimenta-do-reino, s/ sal)",189,"22,8",25,"0,77"
"Almôndega, ao sugo (molho de tomate) (carne, boi, frita, c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal)",194,"11,6","11,3","11,6"
"Almôndega, carne bovina, c/ molho branco (molho bechamel), c/ queijo parmesão, gratinado, c/ sal, Brasil",236,"21,3","9,02","12,7"
"Almôndega, carne bovina, grelhada, artesanal, c/ sal, Brasil [carne bovina moída (patinho), farinha de rosca, cebola, óleo de soja, cebolinha e salsa (salsinha), pimenta-do-reino, c/ sal]",245,"30,4","8,48","10,2"
"Almôndega, carne bovina, grelhada, artesanal, s/ sal, Brasil [carne bovina moída (patinho), farinha de rosca, óleo de soja, cebola, cebolinha e salsa (salsinha), pimenta-do-reino, cebola, s/ sal)",245,"30,4","8,63","10,2"
"Almôndega, carne, ave, industrializada, crua, c/ sal, Brasil",202,"12,8","7,09","13,6"
"Almôndega, carne, boi, crua, c/ sal, industrializada, Brasil",168,"13,5","11,7","7,43"
"Almôndega, carne, boi, industrializada, crua, c/ sal, Brasil",178,"12,9","10,7","9,32"
"Almôndega, carne, boi, industrializada, frita, c/ sal, Brasil",272,"18,2","14,3","15,8"
"Amaranto, grão, cozido, s/ óleo, s/ sal (dado importado)",100,"3,8","18,7","1,59"
"Amaranto, grão, cru (dado importado)",365,"13,6","65,3","7,02"
"Ameixa de queijo  (farinha de trigo, queijo minas, ovo, água, c/ açúcar)",359,14,"45,6","13,5"
"Ameixa, c/ casca, in natura, Brasil",53,"0,77","13,8",tr
"Ameixa, em calda, enlatada, Brasil",188,"0,41","46,9",tr
"Ameixa, seca (dado importado)",253,"2,18","63,9","0,38"
"Amêndoa, crua, s/ sal, Brasil",595,"21,2","21,5","49,9"
"Amêndoa, torrada, c/ sal, Brasil",616,"20,6","21,8",52
"Amêndoa, torrada, caramelizada",560,"15,5","40,9",39
"Amendoim, caramelizado",568,"20,7","37,2","38,9"
"Amendoim, grão, cru, Brasil",589,"25,4","20,7","46,3"
"Amendoim, japonês, caseiro (amenoim, farinha de trigo, água, açúcar, molho shoyu, fermento químico, manteiga, c/ sal)",455,"16,6","47,2","23,2"
"Amendoim, ovinhos, assado, caseiro (amenoim, polvilho doce, banha suína, fermento químico, c/ sal)",476,"7,62","51,2","27,3"
"Amendoim, ovinhos, frito, caseiro (amenoim, polvilho doce, banha suína, fermento químico, óleo de soja (p/ fritura), c/ sal)",526,"6,71","45,1","35,9"
"Amendoim, torrado, c/ sal, Brasil",626,"27,5","16,9","51,8"
"Amora preta, in natura, Brasil",36,"1,39","6,74","0,49"
"Análogo de queijo, queijo vegetal, c/ tremoço, castanha de caju e polvilho doce*, artesanal, c/ sal, Brasil (água, castanha de caju, tremoço, polvilho doce*, ágar-ágar, óleo de girassol, alho, suco de limão, páprica em pó, com sal)",179,"5,67",15,"11,3"
"Análogo, hambúrguer (hamburger), soja, s/ temperos, s/ sal, cru, Brasil",73,"6,77","7,33","3,42"
"Análogo, quibe (kibe), soja, mini, s/ tempero, s/ sal, cru, Brasil",196,"10,8","26,1","5,97"
"Análogo, salsicha, soja, crua, Brasil",186,"16,9","14,4","6,9"
"Angu à baiana, polenta, c/ molho bolonhesa, c/ sal (polenta, c/ molho bolonhesa (carne bovina - patinho moído, tomate, cebola, alho, c/ óleo de soja), c/ sal)",99,"3,36","19,8","1,27"
"Angu a baiana, polenta, c/ molho de carne bovina, c/ sal polenta, c/ molho de carne bovina (acém, coração, língua, rabada, bucho), c/ molho de tomate (tomate, c/ óleo, cebola e alho), pimentão, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal",146,"8,11","13,7","6,9"
"Anis estrelado, semente (dado importado)",384,"17,6",50,"15,9"
"Apresuntado, cozido (média de diferentes marcas), Brasil",126,"14,5","4,05","5,71"
"Apresuntado, fatiado, cozido, Brasil",108,"13,5","3,32","4,53"
"Apresuntado, metro, cozido, Brasil",129,16,5,5
"Apresuntado, retangular, cozido, Brasil",139,15,5,"6,6"
"Araçá, polpa, com casca, sem semente, in natura, Brasil",47,1,"12,5","0,2"
"Araruta (agutiguepe), farinha, crua (dado importado)",344,"0,4","86,8","0,2"
"Arroz à grega, c/ arroz integral, c/ sal (arroz integral, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, c/ sal)",118,"2,2","22,6","2,63"
"Arroz à grega, c/ arroz integral, s/ sal (arroz integral, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, s/ sal)",119,"2,21","22,7","2,64"
"Arroz à grega, c/ arroz polido, c/ sal (arroz polido, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, c/ sal)",135,"2,23","26,8","2,47"
"Arroz à grega, c/ arroz polido, s/ sal (arroz polido, c/ cenoura, vagem, pimentão verde, uva passa, c/ óleo, cebola e alho, s/ sal)",135,"2,24",27,"2,48"
"Arroz ao molho pardo (arroz de cabidela), c/ arroz polido, c/ sal (arroz polido, frango, sangue de frango, cheiro verde, c/ vinagre de maçã, c/ óleo, cebola e alho, c/ sal)",155,"13,1",14,"5,35"
"Arroz basmati (jasmim), cozido, c/ óleo de soja, cebola e alho, c/ sal (dado importado)",124,"2,99","24,6","1,67"
"Arroz caipira, c/ arroz integral, c/ sal (arroz integral, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, c/ sal)",172,"11,1","13,9","8,35"
"Arroz caipira, c/ arroz integral, s/ sal (arroz integral, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, s/ sal)",173,"11,1","13,9","8,39"
"Arroz caipira, c/ arroz polido, c/ sal (arroz polido, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, c/ sal)",184,11,"17,2","8,12"
"Arroz caipira, c/ arroz polido, s/ sal (arroz polido, c/ frango, tomate, toucinho defumado (bacon), c/ óleo, cebola e alho, s/ sal)",185,"11,1","17,3","8,15"
"Arroz carreteiro, c/ sal (arroz branco polido, charque dessalgado, cebola, tomate, salsinha, c/ óleo de soja, c/ sal)",150,"10,8","11,5","7,09"
"Arroz carreteiro, s/ sal (arroz branco polido, charque (carne seca, carne de sol, jaba) dessalgado, cebola, tomate, salsinha, c/ óleo de soja, s/ sal)",151,"10,8","11,6","7,12"
"Arroz chop suey, c/ arroz integral, c/ molho shoyu (arroz integral, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, c/ molho shoyu)",124,"4,55","16,8","4,67"
"Arroz chop suey, c/ arroz integral, s/ sal (arroz integral, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, s/ sal)",123,"4,46","16,7","4,63"
"Arroz chop suey, c/ arroz polido, c/ molho shoyu (arroz polido, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, c/ molho shoyu)",231,"4,89","11,5","18,9"
"Arroz chop suey, c/ arroz polido, s/ sal (arroz polido, c/ presunto, cenoura, ovos mexidos, c/ óleo, cebola e alho, s/ sal)",141,"4,52","21,3","4,47"
"Arroz com abobrinha, c/ óleo, cebola e alho, c/ sal",108,"2,05","22,4","1,44"
"Arroz com abobrinha, c/ óleo, cebola e alho, s/ sal",109,"2,07","22,5","1,55"
"Arroz com alho poró, c/ arroz integral, s/ sal (arroz , alho integral, poró, c/ óleo de soja, s/ sal)",106,"2,02","19,4","2,7"
"Arroz com alho poró, c/ arroz polido, c/ sal (arroz polido, alho poró, c/ óleo de soja, c/ sal)",124,"1,97","24,2","2,35"
"Arroz com alho poró, c/ arroz polido, s/ sal (arroz polido, alho poró, c/ óleo de soja, s/ sal)",124,"1,97","24,3","2,35"
"Arroz com brócolis, c/ arroz integral, c/ sal (arroz integral, c/ brócolis, c/ óleo, cebola e alho, c/ sal)",102,"2,55",18,"2,77"
"Arroz com brócolis, c/ arroz integral, s/ sal (arroz integral, c/ brócolis, c/ óleo, cebola e alho, s/ sal)",102,"2,56",18,"2,77"
"Arroz com brócolis, c/ arroz polido, c/ sal (arroz polido, c/ brócolis, c/ óleo, cebola e alho, c/ sal)",118,"2,51","22,3","2,46"
"Arroz com brócolis, c/ arroz polido, s/ sal (arroz polido, c/ brócolis, c/ óleo, cebola e alho, s/ sal)",118,"2,52","22,3","2,46"
"Arroz com carne bovina, c/ arroz polido, c/ sal (arroz polido, carne bovina músculo, tomate, salsinha, cebolinha, c/ óleo, cebola e alho, c/ sal)",144,"9,45","20,3","3,02"
"Arroz com carne bovina, c/ arroz polido, s/ sal (arroz polido, carne bovina músculo, tomate, salsinha, cebolinha, c/ óleo, cebola e alho, s/ sal)",145,"9,46","20,3","3,13"
"Arroz com cenoura, c/ óleo, cebola e alho, c/ sal",118,"2,19","24,2","1,75"
"Arroz com cenoura, c/ óleo, cebola e alho, s/ sal",119,"2,21","24,3","1,86"
"Arroz com coco, c/ arroz polido, c/ sal (arroz polido, c/ coco e leite de coco, c/ óleo, cebola e alho, c/ sal)",180,"2,35","22,5","9,27"
"Arroz com coco, c/ arroz polido, s/ sal (arroz polido, c/ coco e leite de coco, c/ óleo, cebola e alho, s/ sal)",180,"2,36","22,6","9,28"
"Arroz com couve, c/ arroz integral, c/ sal (arroz integral, c/ couve, c/ óleo, cebola e alho, c/ sal)",102,"2,54","17,9","2,76"
"Arroz com couve, c/ arroz integral, s/ sal (arroz integral, c/ couve, c/ óleo, cebola e alho, s/ sal)",102,"2,55","17,9","2,76"
"Arroz com couve, c/ arroz polido, c/ sal (arroz polido, c/ couve, c/ óleo, cebola e alho, c/ sal)",117,"2,49","22,2","2,45"
"Arroz com couve, c/ arroz polido, s/ sal (arroz polido, c/ couve, c/ óleo, cebola e alho, s/ sal)",118,"2,51","22,2","2,45"
"Arroz com espinafre, c/ arroz integral, c/ sal (arroz integral, espinafre, c/ óleo de soja, c/ sal)",103,"2,25","18,4","2,71"
"Arroz com espinafre, c/ arroz integral, s/ sal (arroz , alho espinafre, c/ óleo de soja, s/ sal)",103,"2,26","18,5","2,71"
"Arroz com espinafre, c/ arroz polido, c/ sal (arroz polido, espinafre, c/ óleo de soja, c/ sal)",121,"2,2","23,3","2,36"
"Arroz com espinafre, c/ arroz polido, s/ sal (arroz polido, espinafre, c/ óleo de soja, s/ sal)",121,"2,21","23,3","2,36"
